Price,Close,High,Low,Open,Volume
Ticker,ANGELONE.NS,ANGELONE.NS,ANGELONE.NS,ANGELONE.NS,ANGELONE.NS
Date,,,,,
2024-07-09,216.71710205078125,228.6981434365525,214.7790594368693,227.4415573134364,11308600
2024-07-10,214.6292266845703,219.71838769613782,212.75885341310612,215.55233374022063,10697570
2024-07-11,213.72547912597656,216.808943457398,213.425834711181,215.55235725896637,7214960
2024-07-12,216.89108276367188,218.08001438194813,214.6969058485933,215.1608708891108,4008860
2024-07-15,220.1485595703125,221.7386100811901,217.0989298286272,220.13406112261762,6207070
2024-07-16,214.4697723388672,224.27112132370587,213.61915739961853,223.47850017591796,11217080
2024-07-18,208.67013549804688,215.8084890719701,208.3028218580947,215.17536566574668,6826040
2024-07-19,201.72027587890625,209.2694389614811,201.0629785165188,208.68947156815,6890130
2024-07-22,204.9632110595703,206.8529205852864,198.9267835874624,202.01990842207877,8926600
2024-07-23,214.88058471679688,223.86999188024393,195.73702723183092,204.76992974253838,31170160
2024-07-24,210.8401641845703,217.6402161142354,209.04712072895535,217.58704530870526,9107000
2024-07-25,205.81382751464844,210.44384671323368,205.4030185277564,210.43418599853817,4945590
2024-07-26,205.85250854492188,209.0761345391885,204.52826777100665,205.81385093255852,6475130
2024-07-29,206.8384246826172,209.33709849136642,206.03614288375573,207.81952557384733,4048370
2024-07-30,206.89158630371094,207.93551874179093,205.51901256545295,207.52954747406812,4609550
2024-07-31,209.38059997558594,219.88272640409926,201.34329805360508,201.92808841993448,28666510
2024-08-01,216.2724609375,217.1955680492092,209.66090370456925,209.69473833019856,10856220
2024-08-02,216.97811889648438,223.23686171933943,211.2993287690481,211.68596389932728,12138600
2024-08-05,205.0937042236328,212.65254258984334,204.43642162614483,210.79666762441576,8703570
2024-08-06,198.28883361816406,210.8063328765525,196.22030488569112,210.8063328765525,9327340
2024-08-07,208.08050537109375,209.58356504221908,199.71938565737923,201.0533017057422,6839810
2024-08-08,207.88719177246094,211.21229174351123,206.36478114533207,209.26942616823703,4870680
2024-08-09,210.1683807373047,211.97593749543324,208.84413999271405,210.13938384137816,3247470
2024-08-12,203.4118194580078,213.43548202256747,202.83185209540522,210.2360303119423,6941460
2024-08-13,202.33407592773438,205.49487039754976,201.3191402999018,205.49487039754976,5259660
2024-08-14,204.3446044921875,204.91489643899223,200.86000653852673,204.4315951791542,2981780
2024-08-16,208.80064392089844,209.80590405760887,203.95313284629626,206.85294042230993,3854910
2024-08-19,226.30096435546875,230.04654890683742,210.26019527102758,212.16924103881777,41875720
2024-08-20,260.6830139160156,264.8442303328268,226.98725233065633,229.10893701291394,147035060
2024-08-21,260.9729919433594,275.9650057216929,252.96468692403096,257.1114197879381,70878440
2024-08-22,252.9356689453125,263.88245282618385,251.31662173922274,261.63509046705485,17012990
2024-08-23,247.7547149658203,255.1637311731015,246.48363035529525,254.18745323692286,10456120
2024-08-26,256.8166198730469,260.98267427663035,249.86674555744057,250.32104991111606,13583790
2024-08-27,251.4761505126953,259.7067555540165,250.35005032793214,258.9528067754347,5287450
2024-08-28,253.41900634765625,256.13515709541747,248.50384074517012,252.28326017495155,6274600
2024-08-29,248.51832580566406,255.47300779858716,247.25690197802902,255.47300779858716,4621280
2024-08-30,249.9972381591797,254.8157372915436,246.0003275239789,251.2199749391563,5103320
2024-09-02,247.4840850830078,253.44319800681117,246.48364791343727,252.28326315845933,4990890
2024-09-03,245.95684814453125,254.08596419934594,243.42917722295,248.7116565010796,6881400
2024-09-04,246.6962890625,250.35488303266024,242.81054291686812,243.5838278599109,5298240
2024-09-05,242.26922607421875,248.78413159026258,241.65060112530526,248.41681795681382,5575480
2024-09-06,233.37168884277344,246.35316901157907,232.08610565634294,245.51705247984475,8052340
2024-09-09,237.37823486328125,238.7266494302431,223.78296884815347,231.98459134461694,7945890
2024-09-10,237.0447540283203,242.24990294727485,234.72491403221173,240.2007104590728,6091550
2024-09-11,231.6221160888672,237.09308959033203,230.76667821552192,236.72093820116586,3262270
2024-09-12,233.16384887695312,237.20424011992847,229.26844210473212,231.9845926842071,4985400
2024-09-13,236.9867706298828,238.26751599115474,232.75788469697693,234.2077884454018,4866430
2024-09-16,249.4994354248047,254.9607337123955,237.30575418776203,239.02146774514944,21329270
2024-09-17,247.2375946044922,251.34565536797572,244.55044074384242,249.3834534067642,6666340
2024-09-18,252.88253784179688,260.40270400812295,245.13521950113693,247.06360149148017,26310220
2024-09-19,244.00912475585938,256.53628424410664,238.94896034184276,256.0529830192691,11857480
2024-09-20,250.42735290527344,252.66987769698633,244.16378782972757,245.90849819423588,9698840
2024-09-23,252.91635131835938,255.92250013965025,249.50908373747015,252.17691581704648,6943210
2024-09-24,251.33595275878906,255.6663422564958,249.8715654192297,253.74765059575208,5052130
2024-09-25,245.42034912109375,250.8333285856202,244.550412840701,250.8333285856202,5038640
2024-09-26,239.2969512939453,245.90367115010702,236.35847142185787,245.41554691496808,7628780
2024-09-27,244.77273559570312,248.223498691124,238.55748888849737,240.62601755261733,7023580
2024-09-30,247.6145782470703,252.08992309482187,240.97400896638703,241.0513389371769,11621730
2024-10-01,251.3262939453125,266.18296778737846,249.38341372449415,251.51475899041768,50494360
2024-10-03,265.056884765625,270.0977129546209,236.81759799730165,244.0671163033415,75595240
2024-10-04,257.2806091308594,265.79637508483216,253.24986358986084,261.7027980193331,27982160
2024-10-07,243.07635498046875,259.98705998204855,241.26879838464177,259.98705998204855,18282230
2024-10-08,251.04116821289062,252.76655723901075,243.83998243832727,244.06713461893006,11150140
2024-10-09,250.74151611328125,258.1795293052283,249.38827853572596,251.04116052336968,7770610
2024-10-10,251.94976806640625,254.6369217789725,246.580298373409,251.31664462238834,7409790
2024-10-11,261.28228759765625,262.785347222514,252.0028988279741,252.2832217783808,12851830
2024-10-14,263.2106628417969,273.548482722526,258.66281147051376,262.8095440794539,34269690
2024-10-15,311.6858215332031,314.91910833886635,277.0283049531184,284.18115813577344,209077500
2024-10-16,312.7925720214844,327.968213432824,299.0861557772134,305.9296884349604,131953250
2024-10-17,302.3387451171875,312.21258541648393,297.9358781207206,311.2411452529573,48814840
2024-10-18,301.03863525390625,311.03813764527416,295.8769822959761,301.00963836362877,41492410
2024-10-21,291.5611267089844,306.1278025754114,289.980722332794,303.1845147628176,20392930
2024-10-22,278.1785583496094,295.5580534586979,276.25499920082916,291.7593124864146,21484140
2024-10-23,286.3849792480469,294.7170878376413,276.448307014995,279.2756074464836,26228760
2024-10-24,277.3955993652344,289.2993116540354,276.4483182845672,288.0475484223812,11663970
2024-10-25,270.53271484375,282.73123378331167,266.811289285732,278.8648237486681,14177510
2024-10-28,277.0282897949219,284.1811425861933,271.64430664658875,274.7036119002995,20458860
2024-10-29,287.03741455078125,288.3520092081475,273.04586783243013,277.5115663848672,15432130
2024-10-30,292.7355651855469,301.9666070140031,286.2931514360246,287.03742472168153,22272290
2024-10-31,294.9684143066406,296.65029317078864,287.6657397001054,294.23378698741897,10428310
2024-11-01,296.7662658691406,299.6467517147128,294.81373959028195,297.6168807227789,2762460
2024-11-04,278.9662780761719,297.22054315067174,276.55458046684595,295.490346206344,14364670
2024-11-05,281.8564758300781,283.2145512525661,273.84333231495873,280.0247745907074,17071570
2024-11-06,284.2149658203125,288.5115209548693,282.49441457329357,283.69782994993534,11031740
2024-11-07,278.990478515625,291.43064771319587,278.05771066225077,284.9495910642285,13383750
2024-11-08,275.2883605957031,287.5255509140228,273.74182030453545,281.2764697363618,15089880
2024-11-11,268.6429748535156,274.5634148759993,266.90310223809126,274.4184304077749,10016050
2024-11-12,264.82977294921875,274.4136158373372,262.9158893120201,270.4553772797086,8312260
2024-11-13,252.67474365234375,265.66104682152553,251.79996950635436,263.88250163237905,11039020
