Price,Close,High,Low,Open,Volume
Ticker,APLAPOLLO.NS,APLAPOLLO.NS,APLAPOLLO.NS,APLAPOLLO.NS,APLAPOLLO.NS
Date,,,,,
2024-07-09,1542.9176025390625,1555.1279688565817,1519.7378770441935,1545.5978677403377,307495
2024-07-10,1554.13525390625,1575.379124511005,1544.6548367382234,1553.4402850633091,590609
2024-07-11,1541.031494140625,1572.4507521555454,1526.8853936240741,1572.4507521555454,454494
2024-07-12,1529.9627685546875,1557.262260812822,1517.8517695522794,1541.6767809775604,539156
2024-07-15,1538.94677734375,1553.4403012123364,1498.99024917856,1530.6576833144788,1636770
2024-07-16,1541.6270751953125,1552.8447330543574,1532.2957094636727,1543.662176697795,922419
2024-07-18,1514.7247314453125,1542.8680023061324,1503.9538649652798,1519.7379594673073,407741
2024-07-19,1478.5902099609375,1514.5263445411258,1475.2150966740917,1512.5904894945452,304603
2024-07-22,1474.6192626953125,1489.3114016486088,1450.4468272545514,1450.4468272545514,447803
2024-07-23,1486.6312255859375,1498.8414720514181,1456.800275392833,1474.5697885076165,330914
2024-07-24,1476.7535400390625,1503.9537845367042,1463.2527250211895,1486.829558277128,293899
2024-07-25,1449.90087890625,1470.9462568866443,1447.6176002058032,1470.9462568866443,358378
2024-07-26,1473.52734375,1487.0778436643052,1444.7884712781315,1449.900946044809,290289
2024-07-29,1492.091064453125,1500.9757600633998,1467.6703301427917,1479.0864817570307,1035527
2024-07-30,1461.3665771484375,1497.9975555255744,1457.2964953688158,1497.8983088831976,549080
2024-07-31,1474.6689453125,1485.092387874453,1462.8061234402921,1481.1215526127567,441370
2024-08-01,1465.287841796875,1495.8136367528293,1458.0907031487232,1482.114207129756,521618
2024-08-02,1461.863037109375,1484.0997397198284,1447.4191959627449,1461.763790459831,287166
2024-08-05,1406.1224365234375,1447.3695387225193,1391.281487324836,1439.427867728157,376949
2024-08-06,1404.08740234375,1454.8147996442492,1396.9398260139942,1414.8085850679668,264836
2024-08-07,1403.3924560546875,1437.04531038444,1397.485886855487,1414.6101145580317,232321
2024-08-08,1424.9837646484375,1434.464181935413,1386.8141606669703,1417.3896394529959,440998
2024-08-09,1414.7093505859375,1448.262958014602,1409.6465597131644,1439.4278250592172,218986
2024-08-12,1422.4525146484375,1436.9460394109308,1404.6830022566267,1408.951698721461,239973
2024-08-13,1400.9603271484375,1433.6700344102799,1394.3587892361822,1433.4715411176926,217949
2024-08-14,1413.865478515625,1418.5808452159579,1389.8419745355106,1402.1514664511105,406432
2024-08-16,1397.287353515625,1430.3941685557597,1388.6011513067297,1411.6816314617947,624511
