Price,Close,High,Low,Open,Volume
Ticker,AMBUJACEM.NS,AMBUJACEM.NS,AMBUJACEM.NS,AMBUJACEM.NS,AMBUJACEM.NS
Date,,,,,
2024-07-09,671.8528442382812,682.1142775514747,665.6563119204081,676.1656065263165,2756185
2024-07-10,659.31103515625,675.8186213695017,650.5863298011453,674.1827126409775,7590766
2024-07-11,673.3399658203125,682.0646706229794,666.8459519860994,674.1826699525504,6139579
2024-07-12,670.712646484375,676.6117572515476,667.9861723116743,674.6784270992124,1807744
2024-07-15,678.3468017578125,684.5433341099683,675.6698876790789,680.6766737170186,2184021
2024-07-16,679.4869384765625,686.0800732119108,677.4049277775116,683.5519000736311,2484802
2024-07-18,684.344970703125,686.5261619952182,673.1912134841316,679.4868655758722,3034365
2024-07-19,672.1007080078125,686.5262231943797,664.6648691989623,685.1381757448565,2613915
2024-07-22,681.2219848632812,682.7091526898024,667.9862154124479,672.0511165997337,3014997
2024-07-23,685.4356079101562,689.0544070589078,656.9315586972878,682.1142907288181,4681258
2024-07-24,676.5621948242188,687.0714892130383,674.281822567938,685.4355805097081,1157565
2024-07-25,670.1177978515625,679.1399244677552,666.7468601526502,672.2989287606135,1226783
2024-07-26,680.5279541015625,685.534739851491,670.2664608088696,670.2664608088696,1914855
2024-07-29,674.0339965820312,687.5672477987033,665.2597307468347,686.0800799952453,3176753
2024-07-30,668.68017578125,675.2236893924588,665.457979129229,674.0339431414186,1526425
2024-07-31,674.1331787109375,680.7758736818037,666.5981588510695,671.9519871590543,5007055
2024-08-01,658.319580078125,675.1741476403662,649.3965737216444,674.1827024896461,7613696
2024-08-02,647.2153930664062,656.6341221551097,643.05131126143,655.3452555403103,3552731
2024-08-05,630.7078247070312,644.9845978423245,628.3283322613124,641.4649798391623,3071394
2024-08-06,620.1985473632812,643.447949953415,617.6208139877798,632.6411728137067,2519055
2024-08-07,637.796630859375,642.4564350060016,628.1300409808125,628.5762033855015,2259244
2024-08-08,633.0377807617188,639.7300360790902,631.6497332314285,639.4326146120321,1121594
2024-08-09,626.5933227539062,639.9778320215926,624.7095527999173,639.4821094561227,2605583
2024-08-12,630.0138549804688,635.5163636552244,612.4652631014272,615.7865802663396,3209718
2024-08-13,619.058349609375,633.4838638274505,616.7779774506836,629.865064978229,1379099
2024-08-14,617.8685913085938,623.5198404161277,612.2173422010596,621.1403479983221,930171
2024-08-16,635.0206298828125,636.4582374785139,618.1165018769026,619.6532297841652,958226
2024-08-19,628.27880859375,638.1437000163567,626.7916408570659,637.4992364585895,938492
2024-08-20,621.0908203125,633.9796071378311,619.3062311623637,630.5591093008145,1390850
2024-08-21,623.8668823242188,626.3454952853797,619.4549391507499,621.6361306591739,1038309
2024-08-22,626.39501953125,634.0291591165687,617.125031793154,624.0651476865331,5299763
2024-08-23,628.1796264648438,654.3538027812998,626.1967361533852,650.3880221583828,14351644
2024-08-26,622.2805786132812,634.4257818180912,620.0498270042345,633.4838968138916,3688932
2024-08-27,619.10791015625,624.4616774347852,616.7284176904518,623.4206721733761,2374774
2024-08-28,611.1268310546875,621.8839870154741,609.8379039147128,620.694240700965,2570418
2024-08-29,607.2601928710938,613.7045867546237,595.5611514620574,612.4157200805204,6301579
2024-08-30,611.771240234375,616.3319244001354,604.1867208653684,607.4089177215311,3540177
2024-09-02,615.0925903320312,618.8600697692134,611.0276289418273,614.6959880700083,2224671
2024-09-03,612.5147705078125,617.1745745791237,608.8960322016184,616.9267133041923,2546441
2024-09-04,621.7352294921875,623.6189994827924,607.3592748141263,609.7387673798369,2347174
2024-09-05,626.444580078125,631.3026854117422,622.0326976678293,623.5694255140116,2834101
2024-09-06,617.9181518554688,625.6018512969126,614.9933767396728,621.6360709400384,2085086
2024-09-09,624.7591552734375,626.0975819560268,609.4908764963856,617.5711782834435,1675042
2024-09-10,621.6856689453125,625.6018893887792,618.3643518994031,624.7591852168349,1466555
2024-09-11,617.6702880859375,626.5932938528291,615.3404163408959,621.6360684267783,1659410
2024-09-12,622.7763061523438,624.3130340593223,615.2908467275264,620.7437951486189,1052634
2024-09-13,624.2138671875,630.3112793089455,620.148966115211,622.7763200729423,1898585
2024-09-16,621.9335327148438,628.4274863679476,620.8925274062257,625.6018918855543,737033
2024-09-17,617.6702880859375,622.0326706660645,615.3899764925553,620.5950631899087,1091216
2024-09-18,614.7951049804688,620.6446554914221,609.7387589891766,617.6703200817187,736543
2024-09-19,603.1952514648438,618.6617715483487,592.8841977338342,618.6617715483487,2512582
2024-09-20,611.2755126953125,613.5062643469147,601.856783499659,605.7730040572961,1799104
2024-09-23,616.7284545898438,618.6617847698517,611.8207889061347,614.6960040982501,1601273
2024-09-24,613.0105590820312,618.5626885462906,610.6311268942171,614.6960280356996,1309122
2024-09-25,610.77978515625,614.2994034087633,604.781553977599,613.0105367897739,1456337
2024-09-26,619.8019409179688,621.6856503379962,605.6242272928259,610.7797540189681,1936586
2024-09-27,628.5762329101562,631.0052856604395,617.8190771042008,619.6532264492865,3874843
2024-09-30,627.1386108398438,637.7966460886482,622.6771077124372,628.5762183946099,4215188
2024-10-01,627.0394897460938,629.3198014613116,617.6703210876677,624.8087381851832,1508022
2024-10-03,612.1677856445312,627.5847447599671,607.8054030239356,617.6702938158918,1552493
2024-10-04,605.4755859375,616.6789044134704,599.4277340076317,610.1849505612363,1538542
2024-10-07,585.2996215820312,614.0515310049665,581.6313229281335,609.7387687967301,3195158
2024-10-08,601.2123413085938,605.1781217644209,579.450108954641,583.6637506889573,3481559
2024-10-09,602.7490844726562,612.1182531405957,600.5678930638383,604.7815349053923,3148946
2024-10-10,580.2432861328125,608.2020520482217,577.021089328145,605.57469814075,6417410
2024-10-11,580.1937255859375,587.7286846727245,578.0620942652356,583.9116449734332,1939238
2024-10-14,583.862060546875,585.7457699837621,578.4091123385558,582.9201755719273,1202564
2024-10-15,585.2996215820312,591.89275605146,581.5321421050762,585.1509411169599,1805205
2024-10-16,584.0107421875,589.3645700989534,571.4689975908492,585.2996087549215,20191089
2024-10-17,566.363037109375,590.70300323178,564.4297069807543,582.9697432303063,3483057
2024-10-18,569.0399780273438,572.460476030182,554.1683002002314,566.6109252129797,5208678
2024-10-21,567.0075073242188,572.95617824346,561.4553781584543,569.3869393841094,3650658
2024-10-22,553.7221069335938,578.2603739821282,551.3426144085324,564.132280832972,5527745
2024-10-23,551.0947265625,559.7203109088341,546.9802657655342,556.200692957958,4336713
2024-10-24,554.1187133789062,557.737451834894,548.7648854135703,552.2349434062487,1330005
2024-10-25,547.9718017578125,556.2007852299122,540.535962383081,551.2931191399863,1607719
2024-10-28,564.5288696289062,577.2689150824575,542.3700351208564,547.9717241954726,6419282
2024-10-29,570.0809936523438,571.3203001602836,561.8024503845106,565.1237676205842,2417223
2024-10-30,574.7407836914062,580.7390149355562,565.5699157645537,569.981858923858,2364199
2024-10-31,575.5834350585938,581.7799668728345,569.4364633962657,574.7407309370594,2016146
2024-11-01,577.4672241210938,580.4911196443079,575.0877316201667,577.9629466827029,216563
2024-11-04,566.5117797851562,575.7322075266103,561.157951799533,574.9886236682187,1059806
2024-11-05,567.1066284179688,570.0809638816994,560.5134939348286,566.1151832633918,625470
2024-11-06,577.6655883789062,579.9954604678877,567.1066724574902,567.1066724574902,1682970
2024-11-07,565.8177490234375,580.0449624646577,564.5288824542378,579.2022583075295,822608
2024-11-08,560.0673828125,569.7835330649194,556.696445137187,569.7835330649194,901220
2024-11-11,555.6058959960938,562.9425539267822,553.7716861286635,559.1750743934006,745179
2024-11-12,551.83837890625,560.6622654680704,549.7563681733776,557.1426470801131,761972
2024-11-13,540.6846313476562,553.4742990050155,536.6197301145806,549.2606567824068,838603
2024-11-14,539.8418579101562,547.5751176013092,536.4213602064713,540.6845620414524,1535042
2024-11-18,545.840087890625,550.2520306897477,533.298343679104,536.3717992849613,1707792
2024-11-19,544.8486938476562,555.5562898321483,542.2214003933525,546.3358616375305,1267125
2024-11-21,480.0081787109375,495.7225908935647,449.17422750605664,490.36879296321536,38274180
2024-11-22,495.5738525390625,510.4454991802605,473.06803606460494,473.06803606460494,11645446
2024-11-25,500.6302490234375,509.90023712679806,498.8952199817275,509.10709309604704,5805213
2024-11-26,489.47650146484375,503.95157700581825,487.4936110886548,502.9601318177238,4602794
2024-11-27,510.5942687988281,519.0215528469641,484.8662542198577,492.7482555204225,8458453
2024-11-28,508.6113586425781,518.0796476609054,506.28145650392815,514.0643069321185,6194006
2024-11-29,526.9530639648438,531.1171454346177,509.10705239124604,511.0899425660902,6608627
2024-12-02,534.1906127929688,536.3718041360495,525.515468086517,527.4487981522706,3153526
2024-12-03,561.7032470703125,567.057075175497,534.3889448313494,536.4709554761374,5596923
2024-12-04,559.8690795898438,567.8006406663409,555.6058776138283,567.8006406663409,1530852
2024-12-05,566.2142944335938,568.4450459953821,558.5802152769921,564.132283847795,3051624
2024-12-06,560.4639282226562,568.6433506668158,559.6707842094609,566.8092013542382,855417
2024-12-09,566.4126586914062,571.8160474014439,560.1665657248649,563.1409014720765,1156965
2024-12-10,568.5938110351562,569.6348163721127,561.2570924940142,566.8587819692251,1086901
2024-12-11,573.50146484375,579.2022745131451,570.5271293640656,573.0553024191953,2670785
2024-12-12,566.8587646484375,574.7407656954297,565.322036768171,573.0552968374235,2304456
2024-12-13,567.8502197265625,570.031411197822,559.2246346660885,565.123745515741,2266790
2024-12-16,572.0143432617188,573.7989325909319,566.9579362304302,568.3459837714934,1121729
2024-12-17,566.2142944335938,573.5510126642343,564.6775665714081,571.072399817803,1085240
2024-12-18,559.7203369140625,574.0467311675645,558.282729370713,572.0638409044642,1635003
2024-12-19,558.4810180664062,559.5716439946365,548.913609067747,550.9956195924481,1365391
2024-12-20,544.1050415039062,564.7270868266248,542.3204524831622,558.6792961138243,2113009
2024-12-23,545.9392700195312,549.7563094598115,542.568332465071,546.2862516002815,832775
2024-12-24,538.4537963867188,552.2349071436197,537.3632310086928,547.2776817653107,978111
2024-12-26,544.1050415039062,546.0383714901309,535.7769392360992,539.3461172775873,1688865
2024-12-27,543.2623901367188,548.7153385429376,541.8247825452044,545.2948406218891,1167271
2024-12-30,539.9409790039062,554.1186923902394,536.8179632365934,543.3119165600289,3433945
2024-12-31,531.2162475585938,544.3528945173672,528.9359360381621,541.2794390567425,1065733
2025-01-01,533.9923095703125,537.3632471339199,526.0111885743381,532.4060216068542,844154
2025-01-02,545.1461181640625,545.9888828905549,533.8932393668284,539.3461879583188,2762768
2025-01-03,544.0059204101562,548.9631457455632,541.3785667771888,547.0793759129067,2142459
2025-01-06,525.3667602539062,543.3118915921686,521.5992206244333,542.9649100271928,3644057
2025-01-07,531.1666870117188,535.0829070726887,520.8060741078629,528.09323155339,758887
2025-01-08,533.4470825195312,535.925695541658,525.7138219930982,532.4060771528406,1397351
2025-01-09,520.756591796875,535.2812881959387,517.6831358791476,534.3889633098822,1332797
2025-01-10,506.8763427734375,519.4677085253749,504.10030840217047,517.6334986544763,1984355
2025-01-13,488.9807434082031,509.60278972238285,486.9978531758203,499.68833856046876,2284737
2025-01-14,510.9412536621094,512.9737647088399,489.8730736640691,489.8730736640691,1755495
2025-01-15,514.8574829101562,520.4096123665707,508.36352891929926,513.568616246118,1765699
2025-01-16,535.5291137695312,538.4538285067957,523.6813323060229,529.4317019852838,4303187
2025-01-17,531.6624755859375,538.0077489170161,525.6642443742369,537.3632853474651,964325
